Date,Month,Month Name,Day,Weekday
6/12/2023,6,Jun,1,Monday
6/13/2023,6,Jun,2,Tuesday
6/14/2023,6,Jun,3,Wednesday
6/15/2023,6,Jun,4,Thursday
6/16/2023,6,Jun,5,Friday
6/17/2023,6,Jun,6,Saturday
6/18/2023,6,Jun,7,Sunday
6/19/2023,6,Jun,1,Monday
6/20/2023,6,Jun,2,Tuesday
6/21/2023,6,Jun,3,Wednesday
6/22/2023,6,Jun,4,Thursday
6/23/2023,6,Jun,5,Friday
6/24/2023,6,Jun,6,Saturday
6/25/2023,6,Jun,7,Sunday
6/26/2023,6,Jun,1,Monday
6/27/2023,6,Jun,2,Tuesday
6/28/2023,6,Jun,3,Wednesday
6/29/2023,6,Jun,4,Thursday
6/30/2023,6,Jun,5,Friday
7/1/2023,7,Jul,6,Saturday
7/2/2023,7,Jul,7,Sunday
7/3/2023,7,Jul,1,Monday
7/4/2023,7,Jul,2,Tuesday
7/5/2023,7,Jul,3,Wednesday
7/6/2023,7,Jul,4,Thursday
7/7/2023,7,Jul,5,Friday
7/8/2023,7,Jul,6,Saturday
7/9/2023,7,Jul,7,Sunday
7/10/2023,7,Jul,1,Monday
7/11/2023,7,Jul,2,Tuesday
7/12/2023,7,Jul,3,Wednesday
7/13/2023,7,Jul,4,Thursday
7/14/2023,7,Jul,5,Friday
7/15/2023,7,Jul,6,Saturday
7/16/2023,7,Jul,7,Sunday
7/17/2023,7,Jul,1,Monday
7/18/2023,7,Jul,2,Tuesday
7/19/2023,7,Jul,3,Wednesday
7/20/2023,7,Jul,4,Thursday
7/21/2023,7,Jul,5,Friday
7/22/2023,7,Jul,6,Saturday
7/23/2023,7,Jul,7,Sunday
7/24/2023,7,Jul,1,Monday
7/25/2023,7,Jul,2,Tuesday
7/26/2023,7,Jul,3,Wednesday
7/27/2023,7,Jul,4,Thursday
7/28/2023,7,Jul,5,Friday
7/29/2023,7,Jul,6,Saturday
7/30/2023,7,Jul,7,Sunday
7/31/2023,7,Jul,1,Monday
8/1/2023,8,Aug,2,Tuesday
8/2/2023,8,Aug,3,Wednesday
8/3/2023,8,Aug,4,Thursday
8/4/2023,8,Aug,5,Friday
8/5/2023,8,Aug,6,Saturday
8/6/2023,8,Aug,7,Sunday
